index,mid,display_name
0,/m/09x0r,Speech
307,/m/0k4j,Car
66,/m/053hz1,Cheering
74,/m/0bt9lr,Dog
81,/m/01yrx,Cat
367,/m/0dxrf,Frying_(food)
465,/m/018w8,Basketball_bounce
400,/m/0c3f7m,Fire_alarm
347,/m/01j4z9,Chainsaw
193,/m/01xqw,Cello
147,/m/018j2,Banjo
27,/m/015lz1,Singing
99,/m/09b5t,Chicken_rooster
191,/m/07y_7,Violin_fiddle
377,/m/0d31p,Vacuum_cleaner
17,/t/dd00001,Baby_laughter
209,/m/0mkg,Accordion
346,/m/01yg9g,Lawn_mower
326,/m/04_sv,Motorcycle
339,/m/09ct_,Helicopter
143,/m/042v_gx,Acoustic_guitar
390,/m/07pp8cl,Telephone_bell_ringing
23,/t/dd00002,Baby_cry_infant_cry
369,/m/02pjr4,Blender
63,/m/0l15bq,Clapping